ID,Age,Income,Postcode,Gender,Outgoings,Approved
456723624,76,116014,WA7 1SJ,b,12732,True
456723677,29,119177,WS10 9BG,b,1211,True
456723829,81,142052,SW1V 3HS,b,816,True
456723872,24,43451,DE24 8GN,b,21794,False
456723973,25,54961,BR4 0HL,a,22791,False
456724066,18,110779,WA14 5EU,a,2147,True
456724232,84,146373,SY6 6BN,a,999999999999999999999999,True
456724232,84,146373,SY6 6BN,a,15871,True
456724321,73,46662,DL9 3JS,b,7442,False
456724375,27,16042,ME6 5PU,a,1039,False
456724475,27,93815,BD6 3DW,b,5951,True
456724567,19,142999,DL1 4PJ,a,16415,False
456724689,41,11248,IM1 4LU,a,5060,False
456724808,60,102134,SP5 4EN,a,12679,True
null,null,null,null,null,999999999999999999999999,True
456724927,79,12101,FK2 0ND,b,3879,True
456724974,26,142320,S61 1ER,a,17646,True
456725080,32,84948,SW16 3HP,a,1956,True
456725190,42,46473,LS18 4PT,b,13457,False
456725340,92,9852,BR6 6LG,a,9927,False
456725416,68,138147,BH21 3UG,a,21043,True
456725466,18,116721,BH1 4EH,a,15208,False
456725593,45,24408,SA13 2AR,b,2272,False
456725681,33,82010,OX26 6AT,a,8365,True
456725800,52,104120,FK8 1TF,a,11306,False
456725891,43,43582,WD3 5GL,b,8906,True
456726026,78,113113,SA44 6QF,b,2328,True
null,null,null,null,null,999999999999999999999999,True
456726138,90,119205,WR6 5UH,b,1343,True
456726207,59,nil,BD21 4NQ,b,24718,False
456726207,59,8793,BD21 4NQ,b,24718,False
456726311,63,32540,TF6 6HD,a,24283,False
456726436,88,20042,SA4 6RG,a,10396,False
456726494,46,52329,IP12 3LF,a,18704,False
456726624,76,63394,CA13 9EL,a,22879,True
456726721,73,69397,DT9 3BP,b,14365,True
456726790,42,10418,WN5 7LB,a,18754,False
456726868,20,129350,LL61 5PJ,a,21504,True
456726980,32,14132,CV22 7PT,b,4871,False
456727119,71,30121,TW1 3DW,b,23897,True
456727234,86,80707,SE20 8TN,a,14223,True
456727270,22,148420,WS10 9EA,b,23191,True
456727403,55,145111,DT5 2AN,b,21454,True
456727542,94,112546,S14 1TL,b,14694,True
456727622,74,66118,TR13 9QP,a,15612,True
456727701,53,61752,PL25 3RN,a,14580,False
456727839,91,113263,FY4 4RD,a,18437,True
456727900,52,40247,TR2 4JZ,b,19185,True
456728033,85,11446,SO17 3SN,b,11929,False
456728089,41,105894,RG2 7UB,a,16863,False
456728172,24,47926,NE47 9AY,b,19698,True
456728320,72,140405,LS25 3AA,b,20443,True
456728380,32,nil,BS5 9UB,a,6638,True
456728380,32,22396,BS5 9UB,a,6638,True
456728506,58,143051,FY5 2JJ,a,12763,False
456728618,70,96596,SW14 8JJ,b,24631,False
456728731,83,53406,BT30 7JD,b,22458,False
456728805,57,75862,PR1 5NQ,b,16624,False
456728927,79,24831,TR15 2DU,b,24983,False
